Cantabria;cantabr;cántabr
Castilla y León;león;leo
La Rioja;rioja;
Comunidad Foral de Navarra;navarr;
Comunidad de Madrid;madri;
Illes Balears;balear;
Comunidat Valenciana;valenc;
Región de Murcia;murcia;
Canarias;canari;
Ceuta;ceut;
Melilla;melil;
Galicia;gali;galle
Principado de Asturias;asturi;
Cataluña;catal;
Castilla - La Mancha;manch;
Extremadura;extrem;
Andalucía;andal;
País Vasco;vasc;eusk
Aragón;arag;
